firstname,lastname,url,party,twitter
John,Whittingdale,uk.org.publicwhip/member/1703,Con
Jonathan,Djanogly,uk.org.publicwhip/member/1649,Con
Julian,Brazier,uk.org.publicwhip/member/1479,Con
Julian,Lewis,uk.org.publicwhip/member/1724,Con
Julie,Kirkbride,uk.org.publicwhip/member/1460,Con
Justine,Greening,uk.org.publicwhip/member/1771,Con
Keith,Simpson,uk.org.publicwhip/member/1735,Con
Kenneth,Clarke,uk.org.publicwhip/member/1794,Con
Laurence,Robertson,uk.org.publicwhip/member/1872,Con
Lee,Scott,uk.org.publicwhip/member/1651,Con
Liam,Fox,uk.org.publicwhip/member/1938,Con
Malcolm,Moss,uk.org.publicwhip/member/1474,Con
Malcolm,Rifkind,uk.org.publicwhip/member/1660,Con
Maria,Miller,uk.org.publicwhip/member/1389,Con
Mark,Field,uk.org.publicwhip/member/1503,Con
Mark,Francois,uk.org.publicwhip/member/1772,Con
Mark,Harper,uk.org.publicwhip/member/1588,Con
Mark,Hoban,uk.org.publicwhip/member/1582,Con
Mark,Lancaster,uk.org.publicwhip/member/1715,Con
Mark,Prisk,uk.org.publicwhip/member/1631,Con
Mark,Pritchard,uk.org.publicwhip/member/1946,Con
Mark,Simmonds,uk.org.publicwhip/member/1435,Con
Michael,Ancram,uk.org.publicwhip/member/1537,Con
Michael,Fallon,uk.org.publicwhip/member/1808,Con
Michael,Gove,uk.org.publicwhip/member/1858,Con
Michael,Howard,uk.org.publicwhip/member/1587,Con
Michael,Jack,uk.org.publicwhip/member/1590,Con
Michael,Mates,uk.org.publicwhip/member/1611,Con
Michael,Penning,uk.org.publicwhip/member/1626,Con
Michael,Spicer,uk.org.publicwhip/member/1941,Con
Nicholas,Soames,uk.org.publicwhip/member/1860,Con
Nicholas,Winterton,uk.org.publicwhip/member/1699,Con
Nick,Gibb,uk.org.publicwhip/member/1429,Con
Nick,Herbert,uk.org.publicwhip/member/1377,Con
Nick,Hurd,uk.org.publicwhip/member/1792,Con
Nigel,Evans,uk.org.publicwhip/member/1781,Con
Nigel,Waterson,uk.org.publicwhip/member/1564,Con
Oliver,Heald,uk.org.publicwhip/member/1632,Con
Oliver,Letwin,uk.org.publicwhip/member/1549,Con
Owen,Paterson,uk.org.publicwhip/member/1818,Con
Patrick,Cormack,uk.org.publicwhip/member/2015,Con
Patrick,McLoughlin,uk.org.publicwhip/member/1536,Con
Patrick,Mercer,uk.org.publicwhip/member/1726,Con
Paul,Beresford,uk.org.publicwhip/member/1718,Con
Paul,Goodman,uk.org.publicwhip/member/1948,Con
Peter,Ainsworth,uk.org.publicwhip/member/1857,Con
Peter,Atkinson,uk.org.publicwhip/member/1635,Con
Peter,Bone,uk.org.publicwhip/member/1915,Con
Peter,Bottomley,uk.org.publicwhip/member/1945,Con
Peter,Luff,uk.org.publicwhip/member/1940,Con
Peter,Tapsell,uk.org.publicwhip/member/1695,Con
Peter,Viggers,uk.org.publicwhip/member/1596,Con
Philip,Davies,uk.org.publicwhip/member/1816,Con
Philip,Dunne,uk.org.publicwhip/member/1696,Con
Philip,Hammond,uk.org.publicwhip/member/1793,Con
Philip,Hollobone,uk.org.publicwhip/member/1661,Con
Richard,Bacon,uk.org.publicwhip/member/1738,Con
Richard,Benyon,uk.org.publicwhip/member/1727,Con
Richard,Ottaway,uk.org.publicwhip/member/1524,Con
Richard,Shepherd,uk.org.publicwhip/member/1370,Con
Richard,Spring,uk.org.publicwhip/member/1854,Con
Robert,Goodwill,uk.org.publicwhip/member/1804,Con
Robert,Key,uk.org.publicwhip/member/1803,Con
Robert,Syms,uk.org.publicwhip/member/1764,Con
Robert,Walter,uk.org.publicwhip/member/1547,Con
Roger,Gale,uk.org.publicwhip/member/1873,Con
Shailesh,Vara,uk.org.publicwhip/member/1475,Con
Simon,Burns,uk.org.publicwhip/member/1493,Con
Stephen,Crabb,uk.org.publicwhip/member/1768,Con
Stephen,Dorrell,uk.org.publicwhip/member/1490,Con
Stephen,Hammond,uk.org.publicwhip/member/1927,Con
Stephen,O'Brien,uk.org.publicwhip/member/1567,Con
Stewart,Jackson,uk.org.publicwhip/member/1759,Con
Theresa,May,uk.org.publicwhip/member/1700,Con
Theresa,Villiers,uk.org.publicwhip/member/1500,Con
Tim,Boswell,uk.org.publicwhip/member/1529,Con
Tim,Loughton,uk.org.publicwhip/member/1944,Con
Tim,Yeo,uk.org.publicwhip/member/1853,Con
Tobias,Ellwood,uk.org.publicwhip/member/1437,Con
Tony,Baldry,uk.org.publicwhip/member/1382,Con
William,Cash,uk.org.publicwhip/member/1844,Con
William,Hague,uk.org.publicwhip/member/1782,Con
Alan,Haselhurst,uk.org.publicwhip/member/2017,CWM
Michael,Lord,uk.org.publicwhip/member/2019,DCWM
Sylvia,Heal,uk.org.publicwhip/member/2018,DCWM
David,Simpson,uk.org.publicwhip/member/1892,DUP
Gregory,Campbell,uk.org.publicwhip/member/1693,DUP
Ian,Paisley,uk.org.publicwhip/member/1375,DUP
Iris,Robinson,uk.org.publicwhip/member/1846,DUP
Jeffrey M,Donaldson,uk.org.publicwhip/member/1666,DUP
Nigel,Dodds,uk.org.publicwhip/member/1401,DUP
Peter,Robinson,uk.org.publicwhip/member/1400,DUP
Sammy,Wilson,uk.org.publicwhip/member/1374,DUP
William,McCrea,uk.org.publicwhip/member/1376,DUP
Andrew,Pelling,uk.org.publicwhip/member/2036,Ind
Bob,Spink,uk.org.publicwhip/member/2038,Ind
Dai,Davies,uk.org.publicwhip/member/2022,Ind
Derek,Conway,uk.org.publicwhip/member/2028,Ind
Richard,Taylor,uk.org.publicwhip/member/1949,Ind
Robert,Wareing,uk.org.publicwhip/member/2029,Ind
Clare,Short,uk.org.publicwhip/member/2024,Ind Lab
Adam,Ingram,uk.org.publicwhip/member/1976,Lab
Adrian,Bailey,uk.org.publicwhip/member/1920,Lab
Alan,Campbell,uk.org.publicwhip/member/1887,Lab
Alan,Johnson,uk.org.publicwhip/member/1648,Lab
Alan,Keen,uk.org.publicwhip/member/1584,Lab
Alan,Meale,uk.org.publicwhip/member/1708,Lab
Alan,Milburn,uk.org.publicwhip/member/1527,Lab
Alan,Simpson,uk.org.publicwhip/member/1748,Lab
Alan,Whitehead,uk.org.publicwhip/member/1828,Lab
Alan,Williams,uk.org.publicwhip/member/1864,Lab
Albert,Owen,uk.org.publicwhip/member/1952,Lab
Alistair,Darling,uk.org.publicwhip/member/1981,Lab
Alun,Michael,uk.org.publicwhip/member/1482,Lab
Andrew,Dismore,uk.org.publicwhip/member/1628,Lab
Andrew,Love,uk.org.publicwhip/member/1568,Lab
Andrew,MacKinlay,uk.org.publicwhip/member/1875,Lab
Andrew,Miller,uk.org.publicwhip/member/1569,Lab
Andrew,Smith,uk.org.publicwhip/member/1755,Lab
Andy,Burnham,uk.org.publicwhip/member/1678,Lab
Angela,Eagle,uk.org.publicwhip/member/1899,Lab
Angela,Smith,uk.org.publicwhip/member/1388,Lab
Angela,Smith,uk.org.publicwhip/member/1814,Lab
Ann,Clwyd,uk.org.publicwhip/member/1525,Lab
Ann,Coffey,uk.org.publicwhip/member/1838,Lab
Ann,Cryer,uk.org.publicwhip/member/1659,Lab
Ann,McKechin,uk.org.publicwhip/member/1987,Lab
Anne,Begg,uk.org.publicwhip/member/1956,Lab
Anne,McGuire,uk.org.publicwhip/member/2013,Lab
Anne,Moffat,uk.org.publicwhip/member/1977,Lab
Ashok,Kumar,uk.org.publicwhip/member/1714,Lab
Austin,Mitchell,uk.org.publicwhip/member/1600,Lab
Barbara,Follett,uk.org.publicwhip/member/1837,Lab
Barbara,Keeley,uk.org.publicwhip/member/1943,Lab
Barry,Gardiner,uk.org.publicwhip/member/1446,Lab
Barry,Sheerman,uk.org.publicwhip/member/1645,Lab
Ben,Chapman,uk.org.publicwhip/member/1930,Lab
Betty,Williams,uk.org.publicwhip/member/1510,Lab
Beverley,Hughes,uk.org.publicwhip/member/1849,Lab
Bill,Etherington,uk.org.publicwhip/member/1855,Lab
Bill,Olner,uk.org.publicwhip/member/1749,Lab
Bill,Rammell,uk.org.publicwhip/member/1616,Lab
Bob,Ainsworth,uk.org.publicwhip/member/1516,Lab
Bob,Blizzard,uk.org.publicwhip/member/1912,Lab
Bob,Laxton,uk.org.publicwhip/member/1532,Lab
Brian H,Donohoe,uk.org.publicwhip/member/1962,Lab
Brian,Jenkins,uk.org.publicwhip/member/1867,Lab
Bridget,Prentice,uk.org.publicwhip/member/1682,Lab
Bruce,George,uk.org.publicwhip/member/1901,Lab
Caroline,Flint,uk.org.publicwhip/member/1543,Lab
Charles,Clarke,uk.org.publicwhip/member/1745,Lab
Charlotte,Atkins,uk.org.publicwhip/member/1834,Lab
Chris,McCafferty,uk.org.publicwhip/member/1471,Lab
Chris,Mole,uk.org.publicwhip/member/1653,Lab
Chris,Mullin,uk.org.publicwhip/member/1856,Lab
Chris,Ruane,uk.org.publicwhip/member/1894,Lab
Christine,Russell,uk.org.publicwhip/member/1496,Lab
Claire,Curtis-Thomas,uk.org.publicwhip/member/1521,Lab
Claire,Ward,uk.org.publicwhip/member/1911,Lab
Clive,Betts,uk.org.publicwhip/member/1809,Lab
Clive,Efford,uk.org.publicwhip/member/1571,Lab
Colin,Burgon,uk.org.publicwhip/member/1570,Lab
Colin,Challen,uk.org.publicwhip/member/1722,Lab
Dai,Havard,uk.org.publicwhip/member/1712,Lab
Dan,Norris,uk.org.publicwhip/member/1904,Lab
Dave,Watts,uk.org.publicwhip/member/1799,Lab
David,Anderson,uk.org.publicwhip/member/1427,Lab
David,Blunkett,uk.org.publicwhip/member/1810,Lab
David,Borrow,uk.org.publicwhip/member/1780,Lab
David,Clelland,uk.org.publicwhip/member/1886,Lab
David,Crausby,uk.org.publicwhip/member/1431,Lab
David,Hamilton,uk.org.publicwhip/member/2001,Lab
David,Hanson,uk.org.publicwhip/member/1530,Lab
David,Heyes,uk.org.publicwhip/member/1380,Lab
David,Lepper,uk.org.publicwhip/member/1454,Lab
David,Taylor,uk.org.publicwhip/member/1677,Lab
David,Winnick,uk.org.publicwhip/member/1900,Lab
Dawn,Butler,uk.org.publicwhip/member/1447,Lab
Dawn,Primarolo,uk.org.publicwhip/member/1457,Lab
Denis,Murphy,uk.org.publicwhip/member/1903,Lab
Dennis,Skinner,uk.org.publicwhip/member/1430,Lab
Derek,Twigg,uk.org.publicwhip/member/1609,Lab
Des,Browne,uk.org.publicwhip/member/1996,Lab
Desmond,Turner,uk.org.publicwhip/member/1453,Lab
Diane,Abbott,uk.org.publicwhip/member/1604,Lab
Don,Touhig,uk.org.publicwhip/member/1657,Lab
